Topic,Time,Topic Words
0,2013,"['chemical', 'gorran', 'haha', 'exile', 'scandinavia', 'syria', 'nowar', 'mentalasylum', 'argos', 'emigrate', 'kinda', 'batman', 'lampedusa', 'romanian', 'hr', 'sat', 'justice', 'nwe', 'mail', 'breakfast']"
0,2014,"['ukip', 'europedebate', 'ferdinand', 'pirate', 'eurovisionsongcontest', 'bnp', 'childrenofsyria', 'almedalen', 'breakingnews', 'prague', 'mahool', 'europeanelection', 'unforumwatch', 'kurd', 'tissue', 'blunkett', 'romania', 'bigimmigrationrow', 'syrie', 'southyorkshire']"
0,2015,"['wethenorth', 'den', 'macedonia', 'srilanka', 'esn', 'thorne', 'refugeecrisis', 'leadersdebate', 'mastersofdarkness', 'tragedy', 'crypticaesthetic', 'immigrationstreet', 'oxon', 'advance', 'bourgeois', 'leanne', 'blackforest', 'commander', 'euskadi', 'mug']"
0,2016,"['vip', 'chateau', 'amalficoast', 'dailymail', 'cheshire', 'seegirltravel', 'ale', 'honeymoon', 'bud', 'burano', 'viewpoint', 'memorial', 'adventurepickle', 'sevilla', 'deutschland', 'accidentally', 'wld', 'bookshop', 'stroll', 'linc']"
0,2017,"['travel', 'paris', 'switzerland', 'sunset', 'italy', 'traveller', 'netherlands', 'architecture', 'tour', 'france', 'night', 'wanderlust', 'england', 'holiday', 'sky', 'tower', 'mountain', 'good', 'rome', 'love']"
0,2018,"['zurich', 'legend', 'england', 'tour', 'blackandwhite', 'travel', 'welcomehome', 'travelphotograph', 'warsaw', 'dream', 'photographer', 'photography', 'explore', 'austria', 'travelpictureoftheday', 'mission', 'energy', 'wanderlust', 'tb', 'spain']"
0,2019,"['nt', 'global', 'immigration', 'white', 'russia', 'fake', 'create', 'vote', 'raid', 'day', 'racism', 'lead', 'force', 'israel', 'boris', 'eu', 'immigrant', 'vacation', 'great', 'wage']"
0,2020,"['illegal', 'move', 'africa', 'avoid', 'trump', 'nt', 'seeker', 'long', 'exile', 'european', 'eu', 'order', 'patel', 'positive', 'strand', 'europe', 'talk', 'immigrant', 'book', 'boris']"
1,2013,"['immigration', 'arkham', 'syria', 'alien', 'bill', 'bottle', 'government', 'exile', 'blast', 'die', 'prague', 'twitter', 'obama', 'immigrant', 'migraine', 'wait', 'horror', 'point', 'country', 'dinner']"
1,2014,"['europeanelection', 'homosexuality', 'bigimmigrationrow', 'coven', 'ukip', 'bizhumanright', 'nathan', 'gazaunderattack', 'withsyria', 'tripe', 'boost', 'irantalk', 'isil', 'baghdad', 'poll', 'kobane', 'limit', 'owl', 'europedebate', 'esp']"
1,2015,"['dalailama', 'europe', 'ukip', 'offensive', 'immigration', 'ge', 'regime', 'daily', 'ibiza', 'positive', 'respond', 'migrantcrisis', 'lesbian', 'ilovedn', 'southampton', 'allwelcome', 'brick', 'lgbt', 'refugee', 'arrest']"
1,2016,"['iphoneisnotdead', 'euskadi', 'adventurepickle', 'bavarian', 'seafood', 'livingthedream', 'exeter', 'jungle', 'cotedazur', 'berkshire', 'anton', 'palmyra', 'menton', 'audi', 'beef', 'ap', 'euref', 'vscogrid', 'dirkschumacher', 'esn']"
1,2017,"['adv', 'aux', 'aurevoir', 'jena', 'pescatarian', 'caminodesantiago', 'nether', 'mobilisation', 'norwich', 'eventim', 'wilkomman', 'welkom', 'rooms', 'cymru', 'rhineriver', 'egaylity', 'fort', 'trevifountain', 'dji', 'surrey']"
1,2018,"['travel', 'spain', 'paris', 'travelgram', 'italy', 'netherlands', 'adventure', 'france', 'instatravel', 'espaa', 'barcelona', 'en', 'wanderlust', 'blue', 'food', 'nature', 'drink', 'holiday', 'amsterdam', 'trip']"
1,2019,"['europe', 'travel', 'spain', 'love', 'germany', 'london', 'trip', 'city', 'amsterdam', 'paris', 'rome', 'italy', 'summer', 'holiday', 'refugee', 'italia', 'human', 'photography', 'sea', 'view']"
1,2020,"['europe', 'travel', 'france', 'italy', 'germany', 'love', 'london', 'spain', 'travelgram', 'virus', 'city', 'architecture', 'immigrant', 'politic', 'paris', 'shoot', 'beautiful', 'week', 'england', 'boat']"
2,2013,"['europe', 'cute', 'swear', 'piss', 'chip', 'talk', 'fuck', 'migraine', 'report', 'weapon', 'humanright', 'nice', 'announce', 'immigrant', 'big', 'acakfilm', 'unemployed', 'day', 'yourewelcome', 'road']"
2,2014,"['telleurope', 'europedebate', 'naked', 'bulgarians', 'karma', 'ilovedn', 'brook', 'airstrike', 'findmylocal', 'clegg', 'dressage', 'sneer', 'kennedy', 'sigh', 'pole', 'colossal', 'hardrockcafe', 'hidden', 'tgif', 'rite']"
2,2015,"['den', 'esn', 'dreamertheater', 'rascal', 'blues', 'forecast', 'findmylocal', 'mtb', 'companyconcierge', 'corridor', 'injure', 'dull', 'battlefornumber', 'snapshot', 'editjunkie', 'brasserie', 'minibreak', 'tfl', 'bennett', 'reinforcement']"
2,2016,"['carrick', 'theferrell', 'barbudoybigotudo', 'mrandmrsgrumpsqonholiday', 'iphones', 'den', 'reconstruction', 'figuere', 'igeurope', 'yusra', 'adventurepickle', 'gloucestershire', 'derby', 'stigmabase', 'toledo', 'shiplife', 'scotch', 'vscogrid', 'flashbackfriday', 'diem']"
2,2017,"['caption', 'uniteforeurope', 'instadaily', 'square', 'portal', 'muslimban', 'weirdolife', 'photographer', 'countdown', 'northant', 'aliencovenant', 'merch', 'pale', 'dub', 'rotterdam', 'cracker', 'duck', 'europeansummer', 'secretive', 'silicon']"
2,2018,"['instagood', 'roma', 'backpacker', 'seville', 'woman', 'bio', 'instalife', 'wanderlust', 'united', 'italy', 'car', 'hr', 'belarus', 'crm', 'swim', 'ilovenice', 'arlinaeurope', 'sunnyday', 'tourism', 'holanda']"
2,2019,"['immigration', 'vote', 'community', 'colour', 'minute', 'people', 'deal', 'corbyn', 'electoral', 'include', 'family', 've', 'year', 'discuss', 'social', 'racist', 'medium', 'racism', 'hope', 'proud']"
2,2020,"['people', 'refugee', 'uk', 'country', 'immigrant', 'asylum', 'migrant', 'question', 'eu', 'good', 'life', 'read', 'time', 'leave', 'work', 'lot', 'live', 'support', 'stop', 'woman']"
3,2013,"['immigration', 'asylum', 'syria', 'illegal', 'kurdish', 'uk', 'rt', 'watch', 'today', 'bring', 'syrian', 'home', 'time', 'day', 'fun', 'good', 'exile', 'jordan', 'play', 'love']"
3,2014,"['thriller', 'desert', 'extremist', 'ukip', 'isil', 'condemn', 'yazidigenocide', 'yr', 'accord', 'cameron', 'ukraine', 'debate', 'cheap', 'deluxe', 'media', 'affect', 'insanity', 'aaron', 'palestine', 'truck']"
3,2015,"['europe', 'refugee', 'paris', 'germany', 'london', 'asylum', 'migrant', 'immigrant', 'uk', 'syria', 'love', 'italy', 'france', 'city', 'immigration', 'time', 'spain', 'stop', 'farage', 'today']"
3,2016,"['europe', 'calais', 'italien', 'florence', 'sun', 'wild', 'blue', 'safepassage', 'lombardy', 'budapest', 'rotterdam', 'harley', 'castle', 'viajarescrecer', 'luxury', 'zurich', 'gare', 'sussex', 'quinn', 'basque']"
3,2017,"['europe', 'travel', 'amsterdam', 'france', 'germany', 'paris', 'spain', 'italy', 'trip', 'london', 'city', 'love', 'view', 'explore', 'barcelona', 'day', 'eurotrip', 'berlin', 'street', 'england']"
3,2018,"['travel', 'italy', 'france', 'amsterdam', 'london', 'spain', 'vacation', 'venice', 'barcelona', 'paris', 'city', 'beautiful', 'architecture', 'rome', 'holiday', 'germany', 'summer', 'england', 'love', 'art']"
3,2019,"['refrigerate', 'boris', 'exhibition', 'brexit', 'roof', 'musketeerseurope', 'weloveeu', 'adult', 'partner', 'contact', 'promote', 'result', 'actor', 'tuscany', 'souvenir', 'modern', 'climb', 'statistic', 'banana', 'definition']"
3,2020,"['immigrant', 'fund', 'illegal', 'asylum', 'country', 'nt', 'refugee', 'migrant', 'work', 'eu', 'propaganda', 'tax', 'return', 'teacher', 'live', 'rate', 'situation', 'people', 'vulnerable', 'law']"
4,2013,"['krg', 'cpeurope', 'yum', 'prague', 'czechrepublic', 'remix', 'ashraf', 'freethe', 'danny', 'edward', 'nickey', 'carroll', 'chavez', 'dissident', 'mcdonalds', 'nyt', 'snowden', 'gettin', 'ufos', 'maze']"
4,2014,"['immigrant', 'refugee', 'syria', 'uk', 'people', 'migrant', 'asylum', 'good', 'eu', 'big', 'year', 'country', 'benefit', 'london', 'work', 'syrian', 'exile', 'world', 'policy', 'time']"
4,2015,"['rebels', 'italyvacations', 'shughour', 'nordic', 'companyconcierge', 'editjunkie', 'nicola', 'allsuperrealism', 'hopkins', 'cockroach', 'crypticaesthetic', 'flickr', 'vangogh', 'fundraiser', 'religiousfreedom', 'med', 'lama', 'migrantcrisis', 'latest', 'findmylocal']"
4,2016,"['travel', 'italy', 'london', 'spain', 'france', 'germany', 'trip', 'europe', 'berlin', 'love', 'italia', 'venice', 'beautiful', 'paris', 'europa', 'city', 'art', 'eurotrip', 'refugee', 'holiday']"
4,2017,"['europe', 'summer', 'propose', 'castle', 'stockholm', 'nancy', 'eurotrip', 'refugee', 'sweden', 'fellow', 'milano', 'goodtime', 'bern', 'soulmate', 'art', 'colorful', 'friends', 'amsterdam', 'germany', 'trieste']"
4,2018,"['bernesealp', 'alp', 'travelphotography', 'granada', 'mountain', 'championsleague', 'backpacker', 'historic', 'ronda', 'wanderer', 'matchday', 'solotravel', 'plussize', 'thealps', 'tasty', 'warsaw', 'bcnlove', 'travelgoal', 'lpfanphoto', 'dj']"
4,2019,"['immigration', 'bliss', 'em', 'traveleurope', 'funding', 'category', 'represent', 'continue', 'skill', 'host', 'strain', 'age', 'private', 've', 'europetravel', 'employment', 'health', 'thursday', 'summervibe', 'link']"
4,2020,"['care', 'implant', 'relate', 'bite', 'iameuropean', 'add', 'uncontrolled', 'follow', 'europeanparliament', 'application', 'status', 'priti', 'worldrefugeeday', 'humanright', 'sink', 'alllivesmatter', 'balkans', 'critical', 'return', 'solidarity']"
5,2013,"['immigration', 'crazy', 'europe', 'snowden', 'czech', 'bubbly', 'romania', 'fuckin', 'turkmen', 'hugo', 'foot', 'heaven', 'cool', 'kurdish', 'croatia', 'chavez', 'silence', 'patient', 'equal', 'unsustainable']"
5,2014,"['isis', 'europe', 'iraq', 'gaza', 'syria', 'somalia', 'farage', 'uk', 'vote', 'watch', 'week', 'asylum', 'give', 'thought', 'immigrant', 'totally', 'yourewelcome', 'labour', 'turn', 'win']"
5,2015,"['assad', 'leadersdebate', 'berlin', 'cameron', 'video', 'crisis', 'immigration', 'tour', 'michael', 'people', 'landscape', 'mediterranean', 'venezia', 'illegal', 'italia', 'kill', 'italy', 'artistzunite', 'bbc', 'win']"
5,2016,"['celiogermanydesk', 'esn', 'verone', 'reus', 'vanilla', 'delft', 'teamspice', 'traveldiarie', 'backpack', 'dj', 'toledo', 'mediterraneo', 'hang', 'basque', 'ben', 'sussex', 'worlderlust', 'wooden', 'vermin', 'ram']"
5,2017,"['muslimban', 'pricedollaz', 'europe', 'valentine', 'oxon', 'themed', 'poole', 'celiogermanydesk', 'seegirltravel', 'citylife', 'citycentre', 'diaries', 'signage', 'venue', 'mallorca', 'tuscany', 'stpetersbasilica', 'roma', 'instadaily', 'chechnya']"
5,2018,"['europe', 'summer', 'daysineurope', 'theostravel', 'travelpicture', 'teamapex', 'stockholm', 'teamcomfortzone', 'arnhem', 'gpscarlosmeliaparis', 'matchday', 'kevweaver', 'pumpkin', 'ncl', 'murren', 'chasingmagnet', 'travelwithkid', 'uppsala', 'disneypark', 'gita']"
5,2019,"['brexit', 'migrant', 'vote', 'nt', 'great', 'refugee', 'work', 'jail', 'line', 'today', 'home', 'economy', 'open', 'project', 'country', 'support', 'poor', 'wonderful', 'film', 'love']"
5,2020,"['nt', 'immigration', 'work', 'immigrant', 've', 'people', 'migrant', 'country', 'bear', 'tory', 'pass', 'brexit', 'community', 'government', 'refugee', 'uk', 'time', 'life', 'year', 'call']"
6,2013,"['europe', 'summer', 'iraq', 'arkham', 'hostel', 'love', 'famous', 'fun', 'welcomehome', 'city', 'london', 'morocco', 'paris', 'day', 'palace', 'selfie', 'architecture', 'home', 'head', 'paradise']"
6,2014,"['syria', 'asylum', 'travel', 'france', 'day', 'yourewelcome', 'paris', 'de', 'love', 'italy', 'europe', 'st', 'human', 'today', 'time', 'morocco', 'spain', 'eurotrip', 'iraq', 'good']"
6,2015,"['al', 'europe', 'bbcrtoday', 'firenze', 'buddhists', 'footage', 'confront', 'rebel', 'shugden', 'ukip', 'den', 'airstrike', 'crypticaesthetic', 'famous', 'frn', 'austrian', 'battlefornumber', 'assad', 'syriza', 'instagay']"
6,2016,"['europe', 'europetrip', 'tuscany', 'espaa', 'backpack', 'bigben', 'celiogermanydesk', 'girona', 'danube', 'kent', 'stockholm', 'venice', 'blackandwhite', 'eurotrip', 'vsco', 'travelbug', 'snow', 'pupil', 'tetouan', 'park']"
6,2017,"['eurotravel', 'adida', 'portland', 'longexposure', 'fujixpro', 'bae', 'turin', 'fujifilm', 'hellohungary', 'normandie', 'acrylic', 'majorca', 'farah', 'downing', 'beyou', 'chillin', 'celtic', 'ttot', 'modernart', 'nobannowall']"
6,2018,"['dracobanks', 'kevweaver', 'buttamurphy', 'worldnomad', 'mountain', 'bernesealp', 'worldroamer', 'coliseum', 'swissalp', 'myinnsbruck', 'sunsetporn', 'innsbrucktourism', 'tourlife', 'meierabroad', 'disco', 'travelguide', 'wanderer', 'yummy', 'likelike', 'ladieslovedracobanks']"
6,2019,"['ambition', 'result', 'rape', 'language', 'bodypositive', 'humanrights', 'trade', 'citizen', 'law', 'remain', 'hand', 'choice', 'freedom', 'grant', 'iameuropean', 'idea', 'refugee', 'shift', 'country', 'migrant']"
6,2020,"['lap', 'trigger', 'lockdown', 'immigration', 'impose', 'quarantine', 'basic', 'coronavirus', 'ppe', 'nazi', 'kent', 'moral', 'king', 'illegal', 'venus', 'entry', 'matter', 'cell', 'ps', 'channel']"
7,2013,"['asylum', 'immigrant', 'migrant', 'syria', 'love', 'uk', 'country', 'travel', 'paris', 'good', 'time', 'year', 'day', 'italy', 'work', 'refugee', 'watch', 'great', 'london', 'france']"
7,2014,"['immigration', 'whittingham', 'questiontime', 'ststephen', 'karma', 'embracerefugee', 'paulovertheworld', 'equalmarriage', 'tortured', 'praha', 'tangier', 'spurn', 'orphanage', 'premier', 'toomanyimmigrant', 'louisvuitton', 'pga', 'pr', 'irantalk', 'disturbance']"
7,2015,"['migrant', 'refugee', 'immigrant', 'country', 'speak', 'regime', 'video', 'people', 'government', 'state', 'debate', 'farage', 'big', 'syria', 'aliens', 'humanright', 'problem', 'calais', 'benefit', 'crisis']"
7,2016,"['den', 'immigration', 'politic', 'firenze', 'espaa', 'calais', 'german', 'berlin', 'geneva', 'budapest', 'europetour', 'madrid', 'restaurant', 'center', 'vscocam', 'report', 'spain', 'ancient', 'venezuela', 'home']"
7,2017,"['trump', 'brexit', 'blackandwhite', 'travelphotography', 'politic', 'refugee', 'stigmabase', 'streetphotography', 'ban', 'business', 'alien', 'essex', 'traveller', 'saturday', 'great', 'sky', 'humanity', 'oxford', 'morning', 'european']"
7,2018,"['drink', 'france', 'cathedral', 'berlin', 'human', 'fun', 'photography', 'uk', 'germany', 'holiday', 'nature', 'instagram', 'great', 'good', 'usa', 'asylum', 'amazing', 'travelphotography', 'summer', 'life']"
7,2019,"['immigrant', 'migrant', 'nt', 'people', 'uk', 'eu', 'asylum', 'refugee', 'policy', 'country', 'today', 'good', 'great', 'year', 'leave', 'time', 'work', 'change', 'labour', 'support']"
7,2020,"['asylum', 'immigrant', 'seeker', 'nt', 'people', 'migrant', 'country', 'refugee', 'eu', 'child', 'live', 'illegal', 'pay', 'family', 'seek', 'government', 'british', 'immigration', 'life', 'rule']"
8,2013,"['maketheweb', 'ipswich', 'ooh', 'brunette', 'czechrepublic', 'mid', 'kerry', 'pierce', 'evangelist', 'lavrov', 'homemade', 'rid', 'djset', 'newbie', 'math', 'cc', 'weird', 'landlord', 'doll', 'celtic']"
8,2014,"['isis', 'immigrant', 'iraq', 'labour', 'bbcqt', 'minister', 'syria', 'europe', 'migraine', 'ukip', 'farage', 'benefit', 'day', 'yourewelcome', 'ticket', 'maliki', 'contribute', 'kill', 'comment', 'event']"
8,2015,"['italy', 'asylum', 'immigrant', 'refugee', 'amsterdam', 'france', 'berlin', 'day', 'europe', 'syria', 'travel', 'paris', 'migrant', 'london', 'eu', 'barcelona', 'austria', 'people', 'holland', 'adventure']"
8,2016,"['europe', 'travel', 'berlin', 'amsterdam', 'italy', 'paris', 'london', 'rome', 'germany', 'spain', 'france', 'barcelona', 'love', 'austria', 'england', 'city', 'holiday', 'italia', 'ready', 'eurotrip']"
8,2017,"['travel', 'city', 'london', 'germany', 'amsterdam', 'italy', 'france', 'love', 'refugee', 'spain', 'paris', 'berlin', 'day', 'drink', 'architecture', 'austria', 'trip', 'canal', 'life', 'switzerland']"
8,2018,"['psblogger', 'parisgram', 'leahrainhainparis', 'lifejacket', 'abeurotrip', 'travelpicture', 'seville', 'traveltheworld', 'sunshine', 'championship', 'travelinggram', 'sevilla', 'traveldiary', 'towerbridge', 'barbican', 'europetrip', 'followme', 'travelpic', 'elblong', 'malm']"
8,2019,"['vote', 'refugee', 'eu', 'uk', 'europeanelections', 'migration', 'immigrant', 'benefit', 'asylum', 'movement', 'labour', 'migrant', 'book', 'travelphotography', 'understand', 've', 'wall', 'young', 'majority', 'child']"
8,2020,"['immigration', 'immigrant', 'migrant', 'refugee', 'law', 'work', 'people', 'border', 'uk', 'story', 'eu', 'government', 'seek', 'wo', 'british', 'year', 'report', 'covid', 'support', 'time']"
9,2013,"['immigrant', 'exile', 'travel', 'migrant', 'head', 'berlin', 'people', 'home', 'refugee', 'russia', 'fall', 'uk', 'humanright', 'arkham', 'human', 'rt', 'alien', 'sky', 'morocco', 'egypt']"
9,2014,"['iraq', 'syria', 'immigrant', 'asylum', 'today', 'labour', 'day', 'cardsagainsthumanity', 'nigel', 'european', 'fuck', 'public', 'gay', 'kill', 'love', 'refugee', 'hour', 'uk', 'st', 'italy']"
9,2015,"['europe', 'refugee', 'crisis', 'italy', 'good', 'uk', 'immigrant', 'travel', 'venice', 'beautiful', 'asylum', 'migrant', 'syria', 'eu', 'day', 'people', 'daily', 'turn', 'florence', 'france']"
9,2016,"['refugee', 'migrant', 'immigrant', 'eu', 'uk', 'asylum', 'arrive', 'germany', 'people', 'child', 'seeker', 'syrian', 'live', 'crisis', 'german', 'year', 'european', 'country', 'border', 'find']"
9,2017,"['trump', 'berlin', 'munich', 'madrid', 'muslimban', 'budap', 'asylum', 'london', 'drink', 'refugee', 'night', 'italy', 'donald', 'humanity', 'de', 'immigrant', 'soul', 'blackandwhite', 'milan', 'immigration']"
9,2018,"['thealps', 'berneseoberland', 'mountain', 'travelpicture', 'stigmabase', 'travelblogger', 'swissalp', 'igeurope', 'monch', 'italie', 'backpacker', 'igdaily', 'blackvegan', 'cordoba', 'autumn', 'uefa', 'kevweaver', 'worldshotz', 'europetrip', 'latergram']"
9,2019,"['migrant', 'trump', 'movement', 'immigrant', 'home', 'party', 'migration', 'immigration', 'eu', 'brexit', 'deal', 'choice', 'bring', 'international', 'vacation', 'year', 'great', 'europetravel', 'pay', 'fact']"
9,2020,"['unleash', 'office', 'black', 'alllivesmatter', 'rohingya', 'access', 'minority', 'iameuropean', 'status', 'image', 'person', 'tory', 'fight', 'legal', 'bear', 'refugeeswelcome', 'ban', 'range', 'day', 'reject']"
